raw_finish_time, proof_generation_time, proof_checking_time, raw_proof_size, raw_derivation_steps, trimmed_proof_size, trimmed_derivation_steps
0.14103198051452637, 0.10022115707397461, 0, 0, 0, 0, 0
0.02013683319091797, 0.031806230545043945, 0.014878034591674805, 39398, 155, 9142, 51
0.021654129028320312, 0.031893014907836914, 0, 0, 0, 0, 0
0.019510984420776367, 0.031217098236083984, 0.014344930648803711, 40362, 159, 9804, 53
0.019416093826293945, 0.03197503089904785, 0.01440286636352539, 39627, 155, 9196, 51
0.02263498306274414, 0.03281092643737793, 0, 0, 0, 0, 0
0.38460230827331543, 0.4271092414855957, 0, 0, 0, 0, 0
0.2527139186859131, 0.22097420692443848, 0, 0, 0, 0, 0
0.021435976028442383, 0.03191709518432617, 0, 0, 0, 0, 0
0.02160191535949707, 0.031010150909423828, 0, 0, 0, 0, 0
0.02158212661743164, 0.032633066177368164, 0, 0, 0, 0, 0
0.05147409439086914, 0.06543207168579102, 0, 0, 0, 0, 0
0.0514988899230957, 0.06535196304321289, 0, 0, 0, 0, 0
0.022475719451904297, 0.033209800720214844, 0, 0, 0, 0, 0
0.035794734954833984, 0.04726982116699219, 0, 0, 0, 0, 0
0.14300322532653809, 0.1623389720916748, 0, 0, 0, 0, 0
0.06364989280700684, 0.07755494117736816, 0, 0, 0, 0, 0
0.021548986434936523, 0.03234291076660156, 0, 0, 0, 0, 0
0.02360391616821289, 0.033754825592041016, 0, 0, 0, 0, 0
0.22863101959228516, 0.19014906883239746, 0, 0, 0, 0, 0
0.037039995193481445, 0.04805779457092285, 0, 0, 0, 0, 0
0.06754779815673828, 0.08150386810302734, 0, 0, 0, 0, 0
0.03650307655334473, 0.04820609092712402, 0, 0, 0, 0, 0
0.21652674674987793, 0.24379897117614746, 0, 0, 0, 0, 0
0.2842249870300293, 0.32249903678894043, 0, 0, 0, 0, 0
0.02314591407775879, 0.03319096565246582, 0, 0, 0, 0, 0
0.03712010383605957, 0.048390865325927734, 0, 0, 0, 0, 0
0.11340904235839844, 0.048367977142333984, 0, 0, 0, 0, 0
